Timestamp,Source MAC,Destination MAC,In Port
2023-03-01 22:15:23.266976,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.271392,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
2023-03-01 22:15:23.273102,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.275077,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
2023-03-01 22:15:23.276806,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.279148,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.281881,16:a7:5d:b4:59:13,33:33:00:00:00:fb,9
2023-03-01 22:15:23.283776,96:13:13:2d:ca:c3,33:33:00:00:00:fb,9
2023-03-01 22:15:23.286867,a2:c2:b7:62:c9:66,33:33:00:00:00:fb,9
2023-03-01 22:15:23.354645,9a:74:44:ba:55:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.358401,06:a3:8a:75:f5:8c,33:33:00:00:00:fb,9
2023-03-01 22:15:23.361226,be:99:d3:c9:f3:a6,33:33:00:00:00:fb,9
2023-03-01 22:15:23.483099,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,3
2023-03-01 22:15:23.484926,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,7
2023-03-01 22:15:23.486992,62:d2:b3:03:7b:71,33:33:00:00:00:fb,8
2023-03-01 22:15:23.490759,be:dc:90:60:d8:2c,33:33:00:00:00:fb,2
2023-03-01 22:15:23.494952,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.497387,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.500223,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
2023-03-01 22:15:23.503795,d6:0b:6d:b0:86:c1,33:33:00:00:00:fb,9
2023-03-01 22:15:23.507545,b6:f6:8c:9e:65:23,33:33:00:00:00:fb,9
2023-03-01 22:15:23.510143,62:d2:b3:03:7b:71,33:33:00:00:00:fb,9
